question_en,answer_en,question_ne,answer_ne
what is the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows,बोटबिरुवा र पङ्क्तिहरू बीचको अन्तराल के हो?,बिरुवाहरू बीच 20 -30 सेन्टिमिटर र पङ्क्तिहरू बीच 60 -75 सेन्टिमिटरको दूरी
Could you tell me what the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows,N/A,बिरुवाहरू बीच 20 -30 सेन्टिमिटर र पङ्क्तिहरू बीच 60 -75 सेन्टिमिटरको दूरी
What is necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process,अंकुरण प्रक्रियाको क्रममा अंकुरण वृद्धिलाई सहज बनाउन के आवश्यक छ?,अंकुरण प्रक्रियाको समयमा पर्याप्त ओसिलो स्तर सुनिश्चित गर्न
Could you tell me what necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process,N/A,अंकुरण प्रक्रियाको समयमा पर्याप्त ओसिलो स्तर सुनिश्चित गर्न
What are the common pests and diseases that affect maize?,"armyworms, cutworms, and aphids, while diseases such as corn smut and gray leaf spot can also affect the crop",मकैलाई असर गर्ने साधारण कीटहरू र रोगहरू के हुन्?,"सेनाका कीराहरू, काट्ने कीराहरू, र एफिडहरू, जबकि मकैको धुलो र खैरो पातका धब्बा जस्ता रोगहरूले पनि बालीलाई असर गर्न सक्छ"
how can pest and diseases be managed in maize plants? ,"use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection",मकैका बिरुवाहरूमा कीट र रोगहरू कसरी व्यवस्थापन गर्न सकिन्छ?,"संक्रमणको जोखिम कम गर्न रासायनिक वा जैविक कीटनाशक र फङ्गीसाइडको प्रयोग, साथै उचित क्रप रोटेशनको प्रयोग"
When is the ideal time to harvest maize?,"Harvesting is typically done when the kernels are fully developed and hard, and the husks have dried up and turned brown",मकै काट्ने उपयुक्त समय कहिले हो?,"कर्नेलहरू पूर्ण रूपमा विकसित र कडा हुँदा, र भुस सुकेको र खैरो भएको बेलामा फसल काट्ने काम गरिन्छ"
how are plants harvested?,by hand or machine,बोटबिरुवाहरू कसरी काट्ने गरिन्छ?,हात वा मेसिनद्वारा
What is the process of field drying and threshing maize?,Post-harvest management,खेत सुकाउने र थ्रेसिंग मक्काको प्रक्रिया के हो?,कटनीपछिको व्यवस्थापन
Could you tell me what the process of field drying and threshing maize?,Post-harvest management,N/A,कटनीपछिको व्यवस्थापन
How is maize  stored after harvesting?,use of hermetic storage bags or containers ,कटाई पछि मकै कसरी भण्डारण गरिन्छ?,हर्मेटिक भण्डारण झोला वा कन्टेनरको प्रयोग
What are the ideal storage conditions for maize to prevent mold growth and insect infestation?,temperatures between 10-15�C,मकैको लागि मोल्ड वृद्धि र कीराको संक्रमण रोक्नको लागि आदर्श भण्डारण अवस्था के हो?,10 -15°C बीचको तापक्रम
which district in Uganda was apple first introduced?,Kabale District,युगान्डाको कुन जिल्लामा स्याउ पहिलो पटक ल्याइएको थियो?,Kabale डिस्ट्रिक्ट
which other regions in Uganda grow apples?,"Bugisu, Bukedi and
Sebei sub regions in areas around Mt. Elgon",युगान्डाका अन्य कुन क्षेत्रहरूले स्याउ खेती गर्छन्?,"बुगिसु, बुकेदी र
माउन्ट एल्गोन वरपरका क्षेत्रहरूमा सेबेई उप - क्षेत्रहरू"
what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market",स्याउ खेतीमा केही चुनौतीहरू के के छन्?,"‹ स्याउको रोपाइँ आयात गरिन्छ र महँगो हुन्छ
चरा र चोरहरूले धेरै किसानहरूलाई निद्राविहीन रातहरू दिइरहेका छन् ।
स्याउ बढ्नको लागि केही क्षेत्रहरू अनुकूल छन्
आयातित स्याउसँग उच्च प्रतिस्पर्धा
बजार"
"What is the fall armyworm, and why is it a concern for farmers in Uganda?","The fall armyworm, in particular, is a major concern for farmers as it is highly invasive, can reproduce quickly, and can cause significant crop losses","खस्ने सेनाको कीरा के हो, र यो युगान्डाका किसानहरूको लागि किन चिन्ताको विषय हो?","पतन सेनाको कीरा, विशेष गरी, किसानहरूको लागि ठूलो चिन्ताको विषय हो किनकि यो अत्यधिक आक्रामक छ, चाँडै प्रजनन गर्न सक्छ, र महत्वपूर्ण बाली नोक्सान निम्त्याउन सक्छ"
"Could you tell me what the fall armyworm, and why is it a concern for farmers in uganda?","The fall armyworm, in particular, is a major concern for farmers as it is highly invasive, can reproduce quickly, and can cause significant crop losses",N/A,"पतन सेनाको कीरा, विशेष गरी, किसानहरूको लागि ठूलो चिन्ताको विषय हो किनकि यो अत्यधिक आक्रामक छ, चाँडै प्रजनन गर्न सक्छ, र महत्वपूर्ण बाली नोक्सान निम्त्याउन सक्छ"
"What is the fall armyworm, and what’s the reason for it a concern for farmers in uganda?","The fall armyworm, in particular, is a major concern for farmers as it is highly invasive, can reproduce quickly, and can cause significant crop losses",N/A,"पतन सेनाको कीरा, विशेष गरी, किसानहरूको लागि ठूलो चिन्ताको विषय हो किनकि यो अत्यधिक आक्रामक छ, चाँडै प्रजनन गर्न सक्छ, र महत्वपूर्ण बाली नोक्सान निम्त्याउन सक्छ"
When was the fall armyworm first detected in Uganda?,2016,युगान्डामा खस्ने सेनाको कीरा पहिलो पटक कहिले पत्ता लागेको थियो?,2016.
Which crops are most susceptible to armyworm infestation in Uganda?,"maize, sorghum, millet, and rice",युगान्डामा सेनाको कीराको संक्रमणको लागि कुन बालीहरू सबैभन्दा बढी संवेदनशील छन्?,"मकै, ज्वार, बाजरा, र चामल"
What are the potential crop losses due to armyworm infestation?," Its infestation can lead to yield losses of up to 50% and, in some cases, total crop failure",आर्मीवर्म इन्फेक्शनको कारण सम्भावित फसल नोक्सान के हो?,"यसको संक्रमणले ५० % सम्मको घाटा निम्त्याउन सक्छ र, केही अवस्थामा, कुल फसल विफलता"
"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 08 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
"How is the spread of armyworms facilitated, and what’s the reason for it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely",N/A,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
What are some of the methods that farmers in Uganda use to control armyworms?,"early detection, biological control, chemical control, crop rotation, and cultural control",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 06 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 05 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 02 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
what type of fertilizers can be applied for maize?,"DAP, NPK, and CAN",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 01 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 00 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
Testing Cassava?,There are various tests that can be done on cassava like testing for viruses.,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 59 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 58 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
How long does beans take  from planting to harvesting season?,75 days to 90 depending on the variety,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 56 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 55 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
any maize market out there?,There are several markets available but all depends on where you are based.Where are you based,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 54 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
"In growing Irish potatoes,row planting and use of holes, which one conserves fertilizers?",Row planting,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 52 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 50 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
where do I submit my answer?,Right here,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 49 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 48 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
What are the effects of reliable rain fall,"improved crop yields, better soil health, enhanced biodiversity, reduced risk of drought, and improved water quality.",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 47 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 46 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
when can Calcium Ammonium Nitrate (CAN) be applied in maize?,After 2-3 weeks or when the crop is about 45cm high,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 45 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 43 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
"Any maize markets out there?
",Nakasero Market,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 42 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 22 MINUTES 41 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
